math,physics,chemistry,english,cs,attendance,hours_studied,extracurricular,school_type,prep_course,overall_score,passed
61.6,53.3,78.3,60.8,76.9,92.8,4.3,4,Public,No,46.19,0
57.8,63.1,69.8,76.1,73.6,77.0,8.8,1,Public,No,23.61,0
70.4,58.2,71.8,77.8,68.6,88.9,10.2,3,Public,No,45.57,0
55.4,56.4,92.0,72.9,74.9,84.1,9.2,1,Public,Yes,61.44,1
61.9,63.8,72.6,74.2,100.0,89.4,9.3,5,Public,No,58.39,0
73.7,86.6,75.2,69.4,83.2,86.8,11.5,0,Public,Yes,64.94,1
83.9,91.9,100.0,86.8,85.5,94.6,6.8,4,Private,Yes,100.0,1
77.3,63.6,63.0,63.0,83.3,85.6,5.1,3,Private,Yes,38.75,0
42.5,92.8,54.8,66.1,90.3,83.7,9.0,4,Private,Yes,51.51,0
73.7,68.5,72.0,72.1,71.9,93.8,12.3,2,Public,Yes,57.14,0
70.9,90.8,72.1,80.8,51.4,89.6,15.1,0,Private,No,57.74,0
75.0,66.8,58.6,57.0,71.9,90.9,12.3,4,Public,Yes,44.15,0
89.4,69.7,51.5,58.9,82.9,79.7,5.6,3,Public,Yes,45.6,0
45.2,72.8,98.3,51.6,63.3,76.6,9.3,2,Private,Yes,47.02,0
62.9,100.0,70.6,72.3,72.1,80.5,10.8,2,Public,Yes,45.69,0
77.1,79.1,55.7,60.8,66.4,80.0,10.5,2,Private,No,56.24,0
51.0,58.8,78.8,68.2,90.5,91.3,11.6,2,Private,No,37.55,0
87.7,80.6,64.5,78.6,82.2,92.8,7.2,1,Public,Yes,58.22,0
74.4,63.3,62.5,65.6,81.2,83.8,10.2,1,Public,No,38.92,0
80.2,61.6,73.9,74.3,80.8,96.4,11.3,1,Public,No,59.31,0
63.1,79.8,47.9,69.0,73.6,95.9,12.5,0,Private,No,19.11,0
79.8,68.4,70.9,78.7,76.2,86.9,7.6,5,Private,Yes,72.91,1
82.8,71.6,92.8,76.8,61.0,78.4,9.0,1,Public,Yes,50.57,0
72.8,68.2,72.5,65.1,49.9,97.6,1.9,0,Public,No,45.62,0
72.8,72.4,60.7,70.3,75.7,84.5,8.1,0,Public,No,34.96,0
73.2,73.5,58.9,82.4,77.6,86.0,8.4,5,Public,No,49.25,0
59.6,42.8,60.3,75.9,87.3,82.3,6.9,2,Public,No,55.6,0
68.2,76.7,62.4,58.0,91.3,77.9,10.5,1,Private,Yes,50.27,0
68.2,55.2,60.7,78.6,91.3,73.3,9.8,2,Public,No,58.14,0
74.6,49.3,78.8,61.2,63.0,90.1,3.2,0,Private,No,33.49,0
82.0,67.2,41.7,86.1,70.1,78.7,10.6,1,Public,Yes,52.25,0
57.3,69.1,78.1,82.2,79.3,100.0,7.2,1,Public,No,48.75,0
68.5,59.0,60.7,74.9,100.0,76.3,11.5,4,Public,No,60.12,1
87.8,78.8,71.3,73.6,90.3,74.9,6.2,0,Private,No,48.2,0
61.1,50.6,50.2,69.9,86.3,89.1,10.1,2,Public,No,20.87,0
60.1,62.7,84.6,78.8,69.7,97.2,9.2,4,Public,No,41.48,0
72.4,60.4,83.4,68.3,64.3,85.5,10.9,5,Public,No,50.51,0
80.1,67.4,79.4,74.4,82.7,89.6,10.4,3,Private,No,59.44,0
70.1,71.6,44.8,80.7,61.9,70.3,9.2,1,Public,Yes,47.09,0
85.9,54.9,77.6,66.4,71.4,79.6,5.4,2,Public,Yes,62.55,1
80.3,77.4,71.7,65.8,72.7,76.4,5.6,1,Private,Yes,39.51,0
80.1,68.8,43.5,60.1,91.5,69.8,8.2,3,Private,Yes,36.93,0
76.6,43.4,65.7,61.4,70.1,85.9,10.0,1,Public,Yes,19.95,0
97.9,42.5,71.1,53.7,47.2,67.1,8.2,3,Public,No,56.45,0
67.5,67.8,73.8,79.3,79.5,74.4,11.9,3,Public,Yes,60.29,1
46.0,65.1,68.5,90.1,66.3,80.7,9.2,5,Public,Yes,50.85,0
89.3,66.7,70.1,86.3,74.5,78.3,7.1,2,Public,No,34.44,0
64.5,67.6,86.6,55.7,73.0,88.2,9.2,5,Public,Yes,51.85,0
71.3,70.9,83.2,79.2,71.0,87.4,10.7,2,Public,No,61.62,1
85.7,80.3,25.9,86.2,82.7,92.2,11.0,4,Public,No,47.78,0
50.8,53.6,61.6,67.4,57.1,91.0,15.6,3,Public,No,48.66,0
55.0,52.8,63.7,73.0,68.3,94.1,8.0,4,Public,Yes,67.81,1
50.8,53.8,41.5,51.9,81.5,85.0,9.8,2,Public,Yes,12.73,0
60.5,71.8,67.3,74.7,67.2,87.4,11.3,4,Public,No,32.48,0
75.3,84.2,83.5,61.4,56.3,89.1,9.9,2,Private,No,43.77,0
76.3,62.4,50.8,74.0,81.4,86.1,8.5,2,Public,Yes,66.29,1
73.3,35.5,70.7,56.4,86.4,81.8,5.4,2,Public,No,42.25,0
53.0,45.8,53.2,77.4,73.5,82.3,8.5,4,Public,No,25.34,0
42.3,57.2,56.6,82.2,52.4,78.5,6.8,3,Public,Yes,25.51,0
70.7,60.7,86.7,64.2,81.8,88.4,4.8,0,Public,No,31.44,0
64.3,62.7,58.4,60.6,55.7,84.2,7.6,4,Public,Yes,44.65,0
75.5,68.5,72.5,50.4,77.4,79.7,6.9,4,Private,Yes,44.34,0
78.4,63.9,39.8,69.3,64.2,79.7,11.8,0,Public,No,29.77,0
71.7,81.6,92.1,66.2,61.2,75.3,11.8,5,Public,Yes,69.78,1
79.1,59.2,74.4,56.5,69.1,92.8,7.3,3,Public,No,38.52,0
72.8,56.8,63.4,76.5,72.0,85.6,9.2,0,Public,No,36.19,0
76.4,74.2,74.1,67.5,66.9,78.1,4.4,2,Private,Yes,49.24,0
61.5,48.0,46.3,61.2,80.5,91.5,8.5,5,Public,No,38.61,0
67.8,73.1,82.6,66.5,69.1,80.5,11.2,1,Private,Yes,78.87,1
72.4,69.3,61.5,82.7,84.8,73.7,12.5,5,Private,Yes,70.56,1
79.8,66.1,63.1,78.0,77.1,93.2,7.9,2,Public,No,58.47,0
65.3,88.6,59.1,70.7,66.3,80.7,13.2,1,Public,No,45.0,0
76.3,59.9,57.9,78.2,64.5,81.7,5.5,2,Public,No,24.74,0
66.8,94.8,75.7,60.4,55.9,85.3,6.3,3,Private,Yes,61.28,1
68.6,65.1,69.6,72.3,77.2,94.1,12.1,4,Public,Yes,58.78,0
80.0,51.4,75.1,73.5,70.1,85.2,15.0,5,Public,No,35.75,0
46.1,68.9,65.9,67.3,47.9,75.4,11.5,1,Private,Yes,31.79,0
54.4,54.0,73.2,76.4,68.1,89.4,9.9,5,Private,Yes,47.62,0
52.2,58.2,60.1,64.2,64.1,81.1,3.4,3,Public,No,12.79,0
42.0,73.2,97.2,77.1,91.3,100.0,3.9,0,Public,Yes,71.5,1
61.9,75.2,44.0,77.5,55.3,85.0,10.4,5,Private,Yes,51.01,0
79.0,59.9,83.7,42.8,58.1,67.1,8.9,2,Public,Yes,56.45,0
66.6,80.8,85.2,83.9,86.2,87.9,6.7,3,Private,No,66.16,1
72.4,83.0,54.1,41.5,88.9,100.0,10.2,4,Public,No,47.54,0
83.1,86.7,97.2,65.8,65.8,97.6,10.3,0,Public,No,51.99,0
85.9,74.9,79.9,82.3,67.0,99.6,12.8,1,Private,Yes,73.68,1
69.2,85.7,79.6,68.8,80.8,76.8,10.4,4,Public,Yes,61.92,1
86.2,43.5,66.4,57.3,48.4,92.3,13.7,1,Public,No,18.61,0
71.1,63.9,63.0,61.1,53.5,79.2,10.0,0,Public,Yes,28.93,0
60.0,56.7,63.1,82.3,70.9,86.8,9.7,0,Public,No,32.48,0
62.9,69.5,71.5,52.8,91.0,74.8,13.2,4,Private,No,57.0,0
52.2,60.6,85.6,83.3,69.2,79.8,7.1,0,Public,No,44.4,0
59.3,65.8,68.5,71.4,75.1,79.6,18.4,0,Public,No,41.99,0
65.7,92.5,53.2,60.1,86.5,92.2,11.1,3,Public,No,56.74,0
79.6,65.8,77.5,66.2,97.2,91.4,11.1,0,Private,Yes,63.95,1
90.6,73.4,78.9,61.8,67.7,87.2,11.6,3,Public,No,19.83,0
53.4,65.0,75.2,80.7,73.8,74.2,15.6,3,Private,No,47.34,0
74.7,69.0,76.4,79.3,94.0,82.5,12.4,3,Private,No,79.7,1
57.5,68.1,62.2,54.8,57.3,79.0,5.2,2,Public,No,0.0,0
75.7,73.8,53.0,68.0,85.3,92.0,14.2,4,Private,No,60.05,1
68.4,83.1,53.8,63.4,62.8,94.4,9.0,3,Public,No,61.33,1
48.0,89.4,43.1,84.9,75.1,93.5,10.3,2,Public,Yes,37.16,0
81.1,72.0,69.3,58.5,71.3,79.0,6.2,0,Public,No,38.84,0
62.7,75.7,64.8,88.0,63.5,63.1,11.6,1,Private,No,30.2,0
63.6,53.0,59.8,71.7,63.2,70.9,8.0,0,Private,Yes,55.24,0
57.2,66.9,24.6,60.4,77.0,96.4,10.3,0,Private,No,26.37,0
62.1,80.2,48.5,65.2,85.0,81.8,9.1,1,Private,No,43.04,0
75.1,79.3,81.7,64.0,72.6,79.0,15.8,1,Public,Yes,81.31,1
67.7,70.8,56.7,59.3,74.8,98.1,15.9,0,Private,Yes,64.25,1
73.9,79.5,71.0,72.9,80.3,95.1,10.1,1,Private,No,47.93,0
74.3,74.4,46.5,59.7,63.3,85.2,10.2,3,Public,Yes,32.53,0
85.8,83.6,86.1,50.2,82.1,82.7,8.9,1,Public,Yes,67.4,1
65.9,71.8,64.0,68.2,83.0,83.9,13.3,1,Public,No,40.4,0
52.3,63.4,70.1,54.0,100.0,86.8,9.0,0,Private,Yes,19.05,0
82.8,72.4,98.6,64.5,69.9,97.8,8.7,0,Public,Yes,62.53,1
66.0,29.9,87.2,62.9,69.0,88.4,12.9,0,Private,No,21.53,0
83.4,73.0,61.7,63.3,82.5,90.8,8.4,2,Public,Yes,74.41,1
74.6,20.6,57.7,92.0,83.0,94.4,9.9,3,Public,No,40.37,0
68.4,45.6,61.4,72.6,68.1,75.6,5.3,4,Public,No,15.31,0
74.2,73.9,73.1,74.5,69.6,91.0,12.1,3,Public,No,45.95,0
93.4,74.2,64.5,54.2,80.0,82.6,15.8,3,Private,No,38.58,0
94.9,52.9,60.5,65.5,64.9,64.9,12.2,5,Public,No,29.12,0
70.8,58.7,86.5,74.2,69.5,68.0,14.4,1,Private,Yes,72.34,1
71.9,85.8,64.4,61.8,75.0,76.9,7.5,4,Public,No,73.98,1
82.9,61.7,98.2,81.1,85.0,89.2,10.7,5,Private,Yes,86.99,1
59.9,97.2,67.3,60.0,67.3,85.9,7.2,3,Public,No,42.28,0
74.0,68.0,91.0,69.1,53.7,86.5,9.3,5,Public,No,44.89,0
69.7,73.3,71.0,66.1,52.9,100.0,12.3,0,Public,Yes,37.45,0
73.8,89.0,79.5,73.6,60.1,74.8,10.3,5,Public,Yes,87.26,1
60.0,69.7,55.9,65.6,59.6,84.8,5.8,3,Public,No,25.06,0
50.9,55.0,54.0,69.3,72.3,87.4,6.1,1,Private,Yes,58.93,0
45.1,66.6,72.4,69.6,60.9,79.1,5.9,0,Public,Yes,48.2,0
56.6,67.5,79.8,64.7,66.3,85.2,11.5,4,Public,Yes,26.29,0
64.5,50.3,66.6,76.9,65.5,72.2,16.2,2,Public,No,32.89,0
66.5,64.7,48.0,74.4,69.2,96.3,14.1,1,Public,No,33.28,0
93.2,58.4,47.0,71.1,88.5,79.5,4.3,2,Public,No,37.22,0
83.3,80.0,46.0,67.7,81.3,100.0,14.3,5,Public,No,57.33,0
58.5,68.4,41.3,80.0,74.2,84.7,12.8,2,Private,Yes,85.81,1
74.2,64.3,67.5,69.6,68.9,93.2,5.4,0,Private,Yes,32.32,0
65.1,66.6,81.8,68.9,69.2,84.6,9.1,1,Public,No,46.85,0
66.6,70.9,65.8,73.0,77.6,84.8,13.3,0,Public,No,56.37,0
72.2,76.0,34.4,89.0,80.4,80.3,11.7,4,Public,No,46.55,0
77.4,55.0,63.3,58.6,64.0,86.0,6.1,4,Public,No,33.47,0
65.9,54.5,63.7,79.7,74.4,87.5,11.8,5,Public,No,31.95,0
82.8,82.4,95.3,53.1,51.7,78.7,3.6,3,Private,No,49.69,0
56.3,62.6,45.6,74.2,76.3,84.0,9.3,4,Public,No,39.21,0
70.1,49.6,60.5,87.8,82.4,80.1,13.4,2,Public,No,51.21,0
100.0,73.8,89.9,76.9,70.9,100.0,10.1,3,Private,No,81.86,1
72.7,74.0,72.3,73.7,94.0,84.3,8.5,0,Public,No,70.69,1
87.2,48.1,73.9,66.4,64.3,97.4,12.7,3,Private,No,65.55,1
71.1,71.0,67.6,72.3,76.4,83.4,12.9,3,Public,No,52.72,0
77.0,77.6,70.6,69.5,73.6,87.1,13.9,0,Public,Yes,44.84,0
69.3,72.9,76.9,64.1,72.9,74.4,12.6,3,Private,Yes,50.75,0
68.0,76.2,54.7,69.1,72.7,81.4,13.2,4,Private,No,47.93,0
60.6,49.7,78.3,74.0,75.2,86.7,12.2,2,Private,No,51.01,0
75.2,72.3,46.8,64.3,83.3,97.7,10.8,3,Public,No,39.63,0
59.8,64.1,70.6,63.9,89.2,86.8,10.3,1,Private,No,35.0,0
78.0,61.7,68.5,58.4,74.0,96.1,9.3,1,Public,Yes,32.22,0
83.0,79.3,57.4,75.9,83.0,90.1,6.4,0,Public,No,26.98,0
74.4,87.2,65.7,77.5,66.3,98.0,7.1,1,Public,No,47.18,0
66.6,91.3,57.3,74.3,82.4,84.5,9.2,4,Public,No,32.69,0
75.4,85.1,51.0,81.7,65.6,100.0,10.7,5,Public,No,40.97,0
66.3,66.6,61.0,72.9,86.0,81.1,14.3,3,Public,Yes,50.17,0
81.2,72.6,50.5,75.9,98.3,78.9,9.9,3,Private,No,38.81,0
48.0,78.0,70.5,75.0,72.7,75.3,13.0,3,Private,No,54.27,0
66.0,69.6,49.9,71.1,49.9,100.0,13.2,2,Private,No,51.98,0
46.1,69.7,76.0,66.7,68.0,91.6,9.3,2,Public,No,30.36,0
52.1,78.7,49.5,94.1,87.6,82.3,11.8,3,Private,Yes,52.16,0
